disadvantage_id,disadvantage_box_name,disadvantage_name,disadvantage_cost,disadvantage_type,disadvantage_description,disadvantage_source_book,disadvantage_source_page
DIS-019,DISOPIA GRAVE | -25,DISOPIA GRAVE,-25,Física,"
- O personagem pode tanto ser míope, quanto hipermétrope, a escolha é sua. Se for míope, ele não será capaz de ler letras pequenas, etc., a uma distância maior do que 30 cm, ou placas de estrada, etc., a mais de 10 m.
- Estará sempre submetido a um redutor de -2 em testes de habilidade com armas de mão. No caso de estar usando armas de arremesso ou de projétil, use o modificador apropriado para dobrar a distância real do alvo.
- Se o personagem for hipermétrope, ele terá grandes dificuldades para ler um livro (triplique o tempo normal), e sua DX estará submetida a um redutor de -3 no caso de trabalhos manuais.
- Qualquer personagem vivendo em NT 5+ poderá adquirir óculos, capazes de corrigir completamente seus problemas com os olhos enquanto estiverem em uso.
- As lentes de contato estarão disponíveis a partir do século XX. Lembre-se que acidentes e pancadas na cabeça podem derrubar os óculos, que poderiam ser apanhados pelos oponentes, etc.
- Esta desvantagem vale apenas -10 pontos para qualquer personagem criado em uma cultura com NT elevado o suficiente para sanar problemas de visão, ou -25 para aqueles oriundos de uma época em que este tipo de anomalia não pode ser corrigido.",Módulo Básico,27
DIS-020,DISOPIA LEVE | -10,DISOPIA LEVE,-10,Física,"
- O personagem pode tanto ser míope, quanto hipermétrope, a escolha é sua. Se for míope, ele não será capaz de ler letras pequenas, etc., a uma distância maior do que 30 cm, ou placas de estrada, etc., a mais de 10 m.
- Estará sempre submetido a um redutor de -2 em testes de habilidade com armas de mão. No caso de estar usando armas de arremesso ou de projétil, use o modificador apropriado para dobrar a distância real do alvo.
- Se o personagem for hipermétrope, ele terá grandes dificuldades para ler um livro (triplique o tempo normal), e sua DX estará submetida a um redutor de -3 no caso de trabalhos manuais.
- Qualquer personagem vivendo em NT 5+ poderá adquirir óculos, capazes de corrigir completamente seus problemas com os olhos enquanto estiverem em uso.
- As lentes de contato estarão disponíveis a partir do século XX. Lembre-se que acidentes e pancadas na cabeça podem derrubar os óculos, que poderiam ser apanhados pelos oponentes, etc.
- Esta desvantagem vale apenas -10 pontos para qualquer personagem criado em uma cultura com NT elevado o suficiente para sanar problemas de visão, ou -25 para aqueles oriundos de uma época em que este tipo de anomalia não pode ser corrigido.",Módulo Básico,27
DIS-021,DALTONISMO | -10,DALTONISMO,-10,Física,"
- O personagem não é capaz de distinguir nenhuma cor (i.e. acromatopsia).
- No dia-a-dia, esta anomalia não é mais do que um transtorno.
- No entanto, em situações que exijam a identificação das cores (compra de pedras preciosas, identificação de um uniforme ou apertar o botão vermelho para dar a partida num motor), o Mestre deverá lhe impor as dificuldades adequadas ao caso.
- Certas perícias serão sempre mais difíceis para um daltônico.
- Ele estará submetido automaticamente a um redutor de -1 nos testes de Condução, Pilotagem, Química, Rastreamento e Comércio.",Módulo Básico,28
DIS-022,DURO DE OUVIDO | -10,DURO DE OUVIDO,-10,Física,"
- O personagem não é surdo, mas perdeu uma parte da audição.
- Ele estará submetido a um redutor de - 4 em todos os testes de Audição e nos de perícias com línguas (nas situações em que ele precisa entender o que alguém esta dizendo).
- Isso significa que as jogadas acima serão feitas contra IQ-4.
- Esta desvantagem não o afeta, quando é ele quem está falando.",Módulo Básico,28
DIS-023,EPILEPSIA | -30,EPILEPSIA,-30,Física,"
- O personagem está sujeito a crises, durante as quais seus membros ficam imobilizados e ele é incapaz de falar ou pensar claramente. (Esta é uma doença grave.)
- Sempre que ele estiver numa situação de tensão (principalmente se sua vida, ou a de um companheiro, estiver em perigo), deverá fazer um teste de HT. 
- Uma falha causará a crise que terá 1d6 minutos de duração.
- É desnecessário dizer que o personagem não é capaz de fazer nada durante a crise, além de receber 1d6 pontos de Mana
-  Se o personagem tiver algum tipo de fobia, a exposição ao objeto de sua fobia se constitui automaticamente em uma situação de tensão.
- Faça um teste de HT a cada 10 minutos.
- É possível tentar induzir uma crise através da auto-hipnose. Isto exige um minuto e um sucesso em um teste de IQ. 
- Uma crise em uma região com um nível de alta intensidade de mana provocará visões as quais, dependendo da vontade do Mestre, poderão ser verdadeiras ou até mesmo proféticas.
- Por não entenderem sua causa, raças primitivas podem ser atemorizadas por uma crise e achar que se trata de uma mensagem dos deuses.
- Faça um teste de reação com um bônus de +1.
- Resultados muito bons significarão adoração enquanto resultados ruins farão com que os primitivo fujam — nunca que ataquem.",Módulo Básico,28
DIS-024,EUNUCO | -5,EUNUCO,-5,Física,"
- O personagem (homens apenas) perdeu sua masculinidade através de um acidente ou de uma ação hostil.
- Ele estará imune à sedução e será incapaz de seduzir outros.
- Qualquer pessoa ciente de sua condição estará submetida a um redutor de -1 nos testes de reação.",Módulo Básico,28
DIS-025,GIGANTISMO | -10,GIGANTISMO,-10,Física,"- O personagem é um gigante por questões genéticas, anormalmente grande para a sua espécie.
- Determine sua altura normalmente (pág. 15) e depois aumente-a em 20%.
- Se ele ainda tiver menos do que 2,10 m de altura (para os humanos), aumente-a para este mínimo.
- O tamanho mínimo para gigantes de outras raças é deixado a cargo do Mestre.
- O peso deve ser determinado em proporção à altura. 
- ST e HT não são afetadas.
- Ele estará submetido a um redutor de -2 em todos os testes de reação, com exceção das situações de combate iminente, onde ele receberá um bônus de +1 por parte de seus inimigos ou aliados.
- Ele deve ser considerado automaticamente como pelo menos 30 cm mais alto do que seus oponentes normais.
- Como os gigantes vivem em um mundo proporcionalmente menor, eles têm uma série de pequenos problemas como roupas, cadeiras, etc., que simplesmente não lhes servem.
- No entanto, esta não é uma desvantagem desastrosa.",Módulo Básico,28
DIS-026,HEMOFILIA | -30,HEMOFILIA,-30,Física,"
- O personagem é um hemofílico. Um ferimento, por menor que seja, não cicatrizará, a menos que seja enfaixado, e o personagem sangrará até morrer.
- Qualquer ferimento não tratado sangrará numa taxa igual ao número de pontos de dano original por minuto.
- Exemplo: um ferimento que provoque a perda de 3 pontos de vida não tratado provocará a perda de outros 3 pontos de vida depois do primeiro minuto e assim por diante até ser estancado.
- Um hemofílico não pode ter uma HT básica maior do que 10.
- Primeiros Socorros serão satisfatórios para cuidar da maioria dos ferimentos.
- No entanto, qualquer ferimento perfurante no tronco provocará uma lenta hemorragia interna.
- Um ferimento deste tipo causará dano como explicado no parágrafo anterior, até ser tratado com Primeiros Socorros.
- Ele continuará a produzir um dano igual ao original uma vez por dia, até ser tratado convenientemente.
- Somente um Cirurgião ou um curandeiro mágico/psíquico será capaz de curar este tipo de ferimento ou restaurar a HT perdida devido à hemorragia interna.
- O personagem morrerá se não houver tratamento adequado à disposição.",Módulo Básico,28
DIS-027,NANISMO | -15,NANISMO,-15,Física,"
- O personagem é um anão por motivos genéticos, anormalmente baixo para a sua espécie.
- Determine sua altura normalmente (pág. 15), e depois reduza-a a 60%.
- Ele também não poderá ter uma Aparência Física igual à média e será considerado “atraente e charmoso” ou particularmente desagradável.
- Qualquer oponente que o ataque com uma arma de arremesso ou de projétil estará submetido a um redutor de -1 (ele é um alvo difícil).
- Em combate, ele estará sempre meio metro abaixo de qualquer adversário humano normal.
- Devido à sua estatura, certas coisas são impossíveis para um anão, outras muito mais fáceis. O Mestre deve usar a imaginação aqui.
- Nanismo é uma condição encontrada em todas as espécies. Um anão neste caso não é a mesma coisa que um membro da raça dos Anões (apesar de ser possível existir um Anão anão).
- A ST e HT de um anão são determinadas normalmente e muitos deles são fortes para o tamanho que têm.
- No entanto, seu atributo Deslocamento está submetido a um redutor de -1, e saltam como se sua ST fosse 4 pontos menor.",Módulo Básico,28
DIS-028,OBESIDADE GRAVE | -20,OBESIDADE GRAVE,-20,Física,"- O personagem será extraordinariamente gordo para sua raça.
- Para uma obesidade equivalente a -10 pontos, determine seu peso normalmente a partir de sua Força (pág. 15) e depois aumente-o em 50%. Isto resultará em um redutor de -1 em todos os testes de reação e sua HT nunca poderá ser maior do que 15.
- Para o caso de -20 pontos, o peso deve ser determinado normalmente e depois dobrado. Isto resultará em um redutor de -2 em todos testes de reação e a HT nunca poderá ser maior do que 13.
- Em qualquer um dos casos, o peso extra contará como uma Carga (v. pág. 76) a mais, da qual ele não pode se livrar. (Exceção: A Carga devido à gordura não conta contra o personagem quando ele está nadando).
- Roupas e armaduras normais não servirão no personagem.
- Ele estará submetido a um redutor de -3 em testes de Disfarce e Sombra, se estiver ttentando seguir alguém numa multidão.
- Como regra, pessoas obesas têm pequenos problemas que o Mestre deveria interpretar criativamente.
- No entanto, existem algumas poucas vantagens. 
- Por exemplo, pessoas obesas recebem um bônus de +5 em seus testes de Natação e são muito difíceis de desalojar, se decidirem a prender alguém sentando-se em cima.
- Um personagem obeso recebe também um bônus de +2 quando dá (ou tenta resistir a) um Encontrão.",Módulo Básico,28
DIS-029,OBESIDADE LEVE | -10,OBESIDADE LEVE,-10,Física,"- O personagem será extraordinariamente gordo para sua raça.
- Para uma obesidade equivalente a -10 pontos, determine seu peso normalmente a partir de sua Força (pág. 15) e depois aumente-o em 50%. Isto resultará em um redutor de -1 em todos os testes de reação e sua HT nunca poderá ser maior do que 15.
- Para o caso de -20 pontos, o peso deve ser determinado normalmente e depois dobrado. Isto resultará em um redutor de -2 em todos testes de reação e a HT nunca poderá ser maior do que 13.
- Em qualquer um dos casos, o peso extra contará como uma Carga (v. pág. 76) a mais, da qual ele não pode se livrar. (Exceção: A Carga devido à gordura não conta contra o personagem quando ele está nadando).
- Roupas e armaduras normais não servirão no personagem.
- Ele estará submetido a um redutor de -3 em testes de Disfarce e Sombra, se estiver ttentando seguir alguém numa multidão.
- Como regra, pessoas obesas têm pequenos problemas que o Mestre deveria interpretar criativamente.
- No entanto, existem algumas poucas vantagens. 
- Por exemplo, pessoas obesas recebem um bônus de +5 em seus testes de Natação e são muito difíceis de desalojar, se decidirem a prender alguém sentando-se em cima.
- Um personagem obeso recebe também um bônus de +2 quando dá (ou tenta resistir a) um Encontrão.",Módulo Básico,28
DIS-030,SURDEZ | -20,SURDEZ,-20,Física,"
- Você não é capaz de ouvir nada.
- Qualquer informação deve lhe ser transmitida através da escrita (se você for alfabetizado) ou linguagem de sinais.
- Estará também submetido a um redutor de -3 em seu atributo IQ quando estiver aprendendo qualquer língua que não seja a sua.
- No entanto, receberá um bônus de +3 em todos os testes de Mímica/Pantomima, Linguagem de Sinais (pág. 55) ou Leitura Labial (pág. 66).",Módulo Básico,28
DIS-031,DISOSMIA / AGEUSIA | -5,DISOSMIA / AGEUSIA,-5,Física,"
- Esta é uma doença rara... o personagem não é capaz de sentir nem o cheiro nem o sabor de nada.
-Será, portanto, incapaz de detectar certos perigos que as pessoas normais percebem rapidamente.
- No entanto, esta deficiência tem suas vantagens.
- Um personagem que a tenha nunca será afetado por gambás e sempre será capaz de comer qualquer coisa que lhe ponham na frente.",Módulo Básico,29
DIS-032,EXCESSO DE PESO | -5,EXCESSO DE PESO,-5,Física,"
- Você não chega a ser obeso — seu peso está um pouco acima da média de sua raça.
- Determine o peso normalmente a partir do atributo ST para depois aumentá-lo em 30%.
- Isto aumenta a Carga como no caso de Obesidade.
- Personagens com Excesso de Peso recebem um bônus de +2 em testes de Natação.
- Ser gordo significa um redutor de -1 em testes de reação feitos por membros de sociedades que têm consciência dos problemas que isto acarreta à saúde, e em áreas onde a disponibilidade de comida é limitada.
- Não existe nenhum outro bônus ou penalidade.
- O personagem consegue roupas com facilidade e é capaz de se misturar na multidão porque existe um bom número de pessoas gordas.",Módulo Básico,29
DIS-033,GAGUEIRA | -10,GAGUEIRA,-10,Física,"
- O personagem sofre de gagueira ou outro problema de fala que o Mestre pode pedir para o jogador representar.
- Ele estará submetido a um redutor de -2 em todos os testes de reação onde for necessária uma conversa, e certas ocupações e perícias como Diplomacia, Lábia, Oratória, Atuação ou Noticiarista, são impossíveis.",Módulo Básico,29
DIS-034,HIPERALGIA | -10,HIPERALGIA,-10,Física,"
- O personagem é muito sensível a dores de todos os tipos.
- Ele estará sempre submetido a um redutor de -4 ao tentar resistir à tortura.
- Sempre que ele receber um ferimento com mais de um ponto de dano, precisará conseguir um sucesso em um teste de Vontade para evitar chorar (possivelmente revelando sua presença).
- Soldados, bárbaros, assassinos, etc., reagirão ao personagem com um redutor de -1 se souberem que ele tem esta Desvantagem.",Módulo Básico,29
DIS-035,MAGREZA | -5,MAGREZA,-5,Física,"
- O personagem é excessivamente magro.
- Depois de descobrir sua altura, verifique o peso “médio” para aquela altura (v. pág. 15) e diminua-o em 1/3.
- Ele nunca poderá ser Elegante ou Muito Elegante e seu atributo HT nunca poderá ser maior do que 14.
- Roupas e armaduras normais não lhe servirão, e seu atributo ST estará submetido a um redutor de -2 quando ele tentar dar (ou resistir a) um Encontrão.
- Haverá um redutor de -2 também, para testes de Disfarce e Sombra se ele estiver tentando seguir alguém no meio de uma multidão.",Módulo Básico,29
DIS-036,MANETA (UM BRAÇO) | -20,MANETA (UM BRAÇO),-20,Física,"
- O personagem perdeu um braço (ou nasceu sem ele).
- Assume-se que o braço perdido é o esquerdo se ele for destro e vice-versa.
- Ele não poderá usar uma espada e um escudo simultaneamente, ou qualquer arma ou coisa que exija o uso de duas mãos.
- A decisão do Mestre é definitiva em caso de discussão.
- Qualquer coisa que exija uma só mão poderá ser feita sem nenhuma penalidade.
- Nos casos limites é melhor deixar que o personagem tente realizar a ação submetido a um redutor de -4 em seu atributo DX ou tentar uma rápida verificação prática, se possível.",Módulo Básico,29
DIS-037,MANETA (UMA MÃO) | -15,MANETA (UMA MÃO),-15,Física,"
- O personagem perdeu uma das mãos.
- Ela pode ser substituída por uma prótese apropriada (gancho, mão mecânica ou biônica).
- Uma substituição biônica (NT 8+) é tão boa quanto a original e por isso não dá direito a nenhum bônus.
- Uma prótese obviamente mecânica submeterá o personagem a um redutor de -1 em todos os testes de reação e seu atributo DX ficará “reduzido” em 2 pontos (para a mão mecânica) ou -4 (no caso de uma garra).
- No entanto, um gancho ou uma garra equivalem a uma faca que o personagem nunca deixará cair em situações de combate (use o NH com Facas ).
- Eles podem ser bastante intimidadores quando brandidos diante do oponente.",Módulo Básico,29
DIS-038,MUDEZ | -25,MUDEZ,-25,Física,"
- O personagem não é capaz de falar.
- Toda a comunicação com outros (e a comunicação do jogador com os outros jogadores) deverá ser feita por escrito ou com linguagem de sinais.
- O Mestre e o jogador poderão ir a uma outra sala, se necessário, para falar sobre o que o personagem está fazendo.
- Um personagem Mudo recebe um bônus de +3 em todos os testes de Mímica/Pantomima ou Linguagem de Sinais (v. pág. 55).
- No entanto, não será exigido (nem permitido) nenhum teste quando ele tentar se comunicar com outros PCs que não conhecem sua linguagem de sinais; represente isto por sua própria conta!",Módulo Básico,29
DIS-039,PERNA MUTILADA | -15,PERNA MUTILADA,-15,Física,"
- O personagem tem uma perna ruim.
- Seu Deslocamento fica reduzido em 3 pontos e ele estará submetido a um redutor de -3 em todos os testes de habilidade que exigem andar ou correr.
- Isto sem dúvida inclui todas as perícias com armas de mão e todas as artes marciais (as perícias com armas de projétil não são prejudicadas).",Módulo Básico,29
