skill_id,skill_box_name,skill_name,skill_category,skill_type,skill_difficulty,skill_base_status,skill_pre_defined_level,skill_source_book,skill_source_page,skill_description,skill_prerequisite,skill_parry_modifier
SKILL-010,CARREIRO | CAMELOS - M|M,CARREIRO | CAMELOS,Animais,M,M,IQ,- ADESTRAMENTO DE ANIMAIS -4,Módulo Básico,47,"
- Esta é a perícia na condução de juntas de animais, como um carroção.
- Ela inclui a habilidade de atrelar e cuidar dos animais, e de avaliá-los antes de uma compra.
- Conduzir um grupo com mais de 4 animais, ou um grupo com animais desconhecidos, submete o NH do personagem a um redutor de -2. Cada espécie de animal exige uma perícia diferente.
- O nível pré-definido em cada uma delas é igual ao nível em qualquer uma das outras -3.

Quando um carroção ou uma carga (um canhão, p.ex.) for movimentado a galope (mais de 30 km/h ou 10 hexes/turno), o condutor deverá fazer um teste de Carreiro a cada 10 segundos, com um redutor que pode ir até -5 devido a um terreno ruim.
- Uma falha numa jogada significa que a carga foi derrubada. Isto equivale a uma queda de 5 metros (dano igual a 5d6-10) para cada homem ou animal envolvido.
- O condutor precisará ser bem sucedido em testes de Adestramento de Animais para conseguir acalmar os animais
-  Jogue também 2 dados para cada animal. 
- Um resultado igual a 12 significa uma perna quebrada.
- O tempo requerido para reacomodar a carga dependerá do que está sendo transportado, do terreno e do clima.",ADESTRAMENTO DE ANIMAIS,
SKILL-011,CARREIRO | BOIS - M|M,CARREIRO | BOIS,Animais,M,M,IQ,- ADESTRAMENTO DE ANIMAIS -4,Módulo Básico,47,"
- Esta é a perícia na condução de juntas de animais, como um carroção.
- Ela inclui a habilidade de atrelar e cuidar dos animais, e de avaliá-los antes de uma compra.
- Conduzir um grupo com mais de 4 animais, ou um grupo com animais desconhecidos, submete o NH do personagem a um redutor de -2. Cada espécie de animal exige uma perícia diferente.
- O nível pré-definido em cada uma delas é igual ao nível em qualquer uma das outras -3.

Quando um carroção ou uma carga (um canhão, p.ex.) for movimentado a galope (mais de 30 km/h ou 10 hexes/turno), o condutor deverá fazer um teste de Carreiro a cada 10 segundos, com um redutor que pode ir até -5 devido a um terreno ruim.
- Uma falha numa jogada significa que a carga foi derrubada. Isto equivale a uma queda de 5 metros (dano igual a 5d6-10) para cada homem ou animal envolvido.
- O condutor precisará ser bem sucedido em testes de Adestramento de Animais para conseguir acalmar os animais
-  Jogue também 2 dados para cada animal. 
- Um resultado igual a 12 significa uma perna quebrada.
- O tempo requerido para reacomodar a carga dependerá do que está sendo transportado, do terreno e do clima.",ADESTRAMENTO DE ANIMAIS,
SKILL-012,CARREIRO | ELEFANTES - M|M,CARREIRO | ELEFANTES,Animais,M,M,IQ,- ADESTRAMENTO DE ANIMAIS -4,Módulo Básico,47,"
- Esta é a perícia na condução de juntas de animais, como um carroção.
- Ela inclui a habilidade de atrelar e cuidar dos animais, e de avaliá-los antes de uma compra.
- Conduzir um grupo com mais de 4 animais, ou um grupo com animais desconhecidos, submete o NH do personagem a um redutor de -2. Cada espécie de animal exige uma perícia diferente.
- O nível pré-definido em cada uma delas é igual ao nível em qualquer uma das outras -3.

Quando um carroção ou uma carga (um canhão, p.ex.) for movimentado a galope (mais de 30 km/h ou 10 hexes/turno), o condutor deverá fazer um teste de Carreiro a cada 10 segundos, com um redutor que pode ir até -5 devido a um terreno ruim.
- Uma falha numa jogada significa que a carga foi derrubada. Isto equivale a uma queda de 5 metros (dano igual a 5d6-10) para cada homem ou animal envolvido.
- O condutor precisará ser bem sucedido em testes de Adestramento de Animais para conseguir acalmar os animais
-  Jogue também 2 dados para cada animal. 
- Um resultado igual a 12 significa uma perna quebrada.
- O tempo requerido para reacomodar a carga dependerá do que está sendo transportado, do terreno e do clima.",ADESTRAMENTO DE ANIMAIS,
SKILL-013,VETERINÁRIA | PEQUENOS - M|D,VETERINÁRIA | PEQUENOS,Animais,M,D,IQ,- ADESTRAMENTO DE ANIMAIS -5,Módulo Básico,47,"- Esta é a habilidade em cuidar de animais feridos ou doentes. Trata-se de uma perícia Médica (veja pág. 56). 
- Modificadores: +5 se o animal já o conhece e confia em você; -2 ou pior se o animal for de um tipo com o qual você não está familiarizado.
- É permitida uma Especialização opcional (pág. 43).",,
SKILL-014,VETERINÁRIA | GRANDES - M|D,VETERINÁRIA | GRANDES,Animais,M,D,IQ,- ADESTRAMENTO DE ANIMAIS -5,Módulo Básico,47,"- Esta é a habilidade em cuidar de animais feridos ou doentes. Trata-se de uma perícia Médica (veja pág. 56). 
- Modificadores: +5 se o animal já o conhece e confia em você; -2 ou pior se o animal for de um tipo com o qual você não está familiarizado.
- É permitida uma Especialização opcional (pág. 43).",,
SKILL-015,VETERINÁRIA | SILVESTRES - M|D,VETERINÁRIA | SILVESTRES,Animais,M,D,IQ,- ADESTRAMENTO DE ANIMAIS -5,Módulo Básico,47,"- Esta é a habilidade em cuidar de animais feridos ou doentes. Trata-se de uma perícia Médica (veja pág. 56). 
- Modificadores: +5 se o animal já o conhece e confia em você; -2 ou pior se o animal for de um tipo com o qual você não está familiarizado.
- É permitida uma Especialização opcional (pág. 43).",,
SKILL-016,VETERINÁRIA | EXÓTICOS - M|MD,VETERINÁRIA | EXÓTICOS,Animais,M,MD,IQ,- ADESTRAMENTO DE ANIMAIS -5,Módulo Básico,47,"- Esta é a habilidade em cuidar de animais feridos ou doentes. Trata-se de uma perícia Médica (veja pág. 56). 
- Modificadores: +5 se o animal já o conhece e confia em você; -2 ou pior se o animal for de um tipo com o qual você não está familiarizado.
- É permitida uma Especialização opcional (pág. 43).",,
SKILL-017,VETERINÁRIA | MÁGICOS - M|MD,VETERINÁRIA | MÁGICOS,Animais,M,MD,IQ,- ADESTRAMENTO DE ANIMAIS -5,Módulo Básico,47,"- Esta é a habilidade em cuidar de animais feridos ou doentes. Trata-se de uma perícia Médica (veja pág. 56). 
- Modificadores: +5 se o animal já o conhece e confia em você; -2 ou pior se o animal for de um tipo com o qual você não está familiarizado.
- É permitida uma Especialização opcional (pág. 43).",,
SKILL-018,ARTISTA - M|D,ARTISTA,Artísticas,M,D,IQ,"
- IQ -6",Módulo Básico,47,"
- Esta é a habilidade de desenhar e pintar com beleza e precisão.
-Um sucesso num teste desta perícia poderia significar (por exemplo) que você fez um desenho bom o suficiente para ajudar na identificação de uma pessoa, desenhar um mapa fácil de seguir ou mesmo pintar um quadro bom o suficiente para trocar por uma refeição.",,
SKILL-019,TROVADOR - M|D,TROVADOR,Artísticas,M,D,IQ,"- IQ -5
- ATUAÇÃO -2",Módulo Básico,47,"
- Esta é a habilidade de contar histórias e falar de improviso.
- O bom uso deste talento permitirá (por exemplo) que você faça um bom discurso político; entretenha um grupo de pessoas ao redor de uma fogueira; incite (ou acalme) um tumulto ou tenha sucesso no papel de “bobo da corte”.
- Modificadores: +2 se você tiver a vantagem Voz Melodiosa e qualquer bônus devido ao seu Carisma, se o tiver.
- Se você tentar representar em um idioma que não seja o seu, subtraia 1 de seu NH para cada ponto abaixo de 12 em seu nível de proficiência naquela língua — por exemplo, se você estiver se apresentando em francês e seu NH com esta língua é 8, você estará submetido a um redutor de -4 em sua perícia como Trovador.",,
SKILL-020,CALIGRAFIA - F|M,CALIGRAFIA,Artísticas,F,M,DX,"- ARTISTA -2
- DX -5",Módulo Básico,47,"
- Esta é a arte da escrita manual bela e decorativa. 
- Ela serve principalmente para ganhar a vida.",ALFABETIZAÇÃO,
SKILL-021,DANÇA - F|M,DANÇA,Artísticas,F,M,DX,"
- DX -5",Módulo Básico,47,"
- Esta é a capacidade de executar danças peculiares à sua própria cultura e de aprender novos estilos rapidamente.
- Modificadores: -5 se a dança for desconhecida.
- Uma dança ser-lhe-á familiar depois que você conseguir executá-la com sucesso por 3 vezes.
- Note que algumas deficiências físicas tornam esta perícia completamente impossível!",,
SKILL-022,INSTRUMENTO MUSICAL - M|D,INSTRUMENTO MUSICAL,Artísticas,M,D,IQ,"
- QUALQUER INSTRUMENTO MUSICAL SIMILAR - 3",Módulo Básico,47,"
- Cada instrumento musical é um talento à parte
-  O uso da perícia permitir-lhe-á apresentar-se com competência com o instrumento em questão.
- Faça um teste para cada nova performance.",,
SKILL-023,FOTOGRAFIA - M|M,FOTOGRAFIA,Artísticas,M,M,IQ,"
- IQ -5",Módulo Básico,47,"
- Esta é a habilidade de usar uma máquina fotográfica e uma câmara escura adequadamente, para produzir fotos reconhecíveis e atraentes.
- Pode-se usar o valor pré-definido para testar a habilidade no uso de máquina fotográfica, mas nunca para a revelação do filme em uma câmara escura. 
- Modificadores: -3 para uma máquina fotográfica desconhecida; -3 para uma máquina de filmar.",,
SKILL-024,POESIA - M|M,POESIA,Artísticas,M,M,IQ,"
- IQ -5
- Língua -5",Módulo Básico,47,"
- Esta é a habilidade de compor qualquer tipo de poesia conhecido em sua civilização com “boa” qualidade, em qualquer língua em que você tenha fluência.
- Um teste de Poesia bem sucedido significa que você compôs um bom poema, num espaço de tempo adequado (determinado pelo Mestre).
- Uma falha significa que você não foi capaz de apresentar boas rimas, ou (pelo motivo que for) sua audiência simplesmente não gostou de seu trabalho.
- Modificadores: -3 (ou pior) se você estiver muito pressionado pelo tempo; +3 (ou mais) se tiver bastante tempo; as mesmas penalidades para língua estrangeira já vistas para “Trovador”.",,
SKILL-025,ESCULTURA - F|M,ESCULTURA,Artísticas,F,M,DX,"
- DX -5
- IQ - 5",Módulo Básico,47,"
- Esta é a habilidade de moldar uma imagem razoavelmente semelhan- te a um ser humano ou um objeto, usando argila, madeira, marfim ou o que lhe venha às mãos.
- Para se produzir uma escultura em metal é necessário ter habilidade com forjaria.
- O tempo necessário é decidido pelo Mestre.
- O uso principal da escultura é como meio de vida, mas ela pode ser muito útil para aventureiros.
- Modificadores: -5 se as ferramentas apropriadas não estiverem disponíveis; -5 se o personagem não estiver familiarizado com o material; -5 se o material for difícil de trabalhar (por ex., mármore).",,
SKILL-026,CANTO - F|F,CANTO,Artísticas,F,F,HT,"
- HT -4",Módulo Básico,48,"
- O estudo desta perícia está baseado em HT, e não DX.
- Esta é a habilidade de cantar de modo agradável.
- Um sucesso em um teste de habilidade significa que a audiência gostou de sua canção.
- Modificadores: -2 se audiência não entender a língua em que você está cantando; +2 se você tiver a vantagem de Voz Melodiosa.",,
SKILL-027,ESCRITA - M|M,ESCRITA,Artísticas,M,M,IQ,"
- IQ -5
- LÍNGUA -5",Módulo Básico,48,"
- Esta é a habilidade de escrever de maneira clara e/ou divertida.
- Um sucesso em um teste de habilidade significa que o trabalho é legível e acurado.
- Modificadores: -3 se você estava com pressa; +3 se tinha bastante tempo à disposição; -5 se você estava escrevendo sobre um assunto com o qual não está familiarizado.
- O relatório de um espião, militar ou detetive particular será muito mais útil se estiver bem escrito!",,
SKILL-028,ACROBACIA - F|D,ACROBACIA,Atléticas,F,D,DX,"
- DX -6",Módulo Básico,48,"
- Esta é a habilidade de realizar proezas acrobáticas e ginásticas, rolar, tomar tombos, etc.
- Deve-se fazer um teste para cada truque que você tenta.
- Esta perícia pode ser conveniente em uma aventura; andar na corda bamba, pirâmides humanas e trapézio, todos têm aplicações práticas.
- Um teste de Acrobacia pode ser substituído por um teste de DX em qualquer tentativa de saltar, rolar, evitar ser Projetado para Trás e assim por diante.
- No esforço de se Esquivar de um golpe, um personagem pode tentar uma Esquiva Acrobática (v. pág. 108), um salto ou um rolamento que evi- te o ataque de uma maneira vistosa.
- Um sucesso em um teste de Acrobacia reduzirá a distância efetiva de qualquer queda em 5 metros (v. pág. 131).
- O Mestre pode aplicar os redutores que achar convenientes quando se tratar de uma proeza particularmente difícil.",,
SKILL-029,CONTROLE DA RESPIRAÇÃO - F|MD,CONTROLE DA RESPIRAÇÃO,Atléticas,F,MD,DX,,Módulo Básico,48,"
- Esta é a habilidade de respirar com a maior eficiência possível.
- No caso de um sucesso em um teste de habilidade o personagem pode triplicar o tempo que ele é capaz de prender a respiração por qualquer razão (por ex., debaixo d’água).
- Um sucesso em um teste de habilidade também possibilitará a recuperação de 1 ponto de Mana em apenas dois minutos, podendo ser feito várias vezes ao dia, porém cada tentativa subsequente a primeira está sujeita a um redutor de -1 progressivo.
- Normalmente, esta perícia não é conhecida fora das civilizações orientais; o Mestre poderá torná-la disponível em um cenário futurista.",,
SKILL-030,SALTO - F|F,SALTO,Atléticas,F,F,DX,,Módulo Básico,48,"
- Esta é a perícia de fazer o melhor uso possível de sua força quando você salta.
- Quando o personagem tenta um salto difícil, ele poderá substituir seu NH em Salto por sua ST ou DX.",,
SKILL-031,PARAQUEDISMO - F|F,PARAQUEDISMO,Atléticas,F,F,DX,"
- DX -4
- IQ -6",Módulo Básico,48,"
- Esta é a habilidade de sobreviver a um salto de paraquedas.
- Uma falha em um teste desta perícia poderia significar desde um pequeno desvio na rota até o pânico que faria o personagem deixar seu equipamento cair — o Mestre decide.
- Uma falha crítica significa que o paraquedas não abriu ou as cordas estavam completamente embaraçadas. (Veja Queda, pág. 130.)
- Quando o salto for realizado sob condições ruins, o Mestre pode exigir um sucesso em um teste de habilidade para sobreviver a uma aterrissagem do tipo “quebra-tornozelo” ou se esquivar das árvores.",,
SKILL-032,CORRIDA - F|D,CORRIDA,Atléticas,F,D,HT,,Módulo Básico,48,"
- Esta perícia está baseada em HT, não DX.
- Ela representa o treino em corridas de curta e longa distância.
- Se você estudou este assunto, divida o seu NH por 8 (não arredonde) e some o resultado a seu parâmetro Velocidade quando for calcular seu Deslocamento. (Isto afeta o movimento em terra somente).
- Exemplo: Se seu NH for igual a 18, seu parâmetro Velocidade deverá ser acrescido de 2,25 pontos antes de calcular seu parâmetro Deslocamento. Veja pág. 88.",,
SKILL-033,MERGULHO - M|D,MERGULHO,Atléticas,M,D,IQ,"
- IQ -5
- NATAÇÃO -5",Módulo Básico,48,"
- Esta é a habilidade em usar equipamentos para respirar debaixo d’água.
- Para evitar a ingestão de água (o que acarretaria na perda de 1 ponto de ST e em risco de afogamento), é necessário ter êxito no teste feito logo que você entra na água e nos subsquentes, feitos a cada 30 minutos.
- Um sucesso no teste da perícia (e neste caso não é lícito usar os níveis pré-definidos), também lhe permitirá notar problemas com o equipamento, se você checá-lo antes de usar.",,
SKILL-034,ESQUI - F|F,ESQUI,Atléticas,F,F,DX,"
- DX -6",Módulo Básico,49,"
- Esta é a capacidade de esquiar.
- Um teste de habilidade é requerido quando você começa uma descida, exceto em uma rampa muito fácil, e outro a cada 30 minutos.
- Uma falha significa que você cai. No caso de uma falha crítica, você sofrerá 1d6-1 pontos de dano em um membro escolhido aleatoriamente, e receberá a lesão incapacitante até que o ferimento sare.
- Se você tiver sofrido 5 pontos de dano, o membro estará na verdade quebrado.",,
SKILL-035,NATAÇÃO - F|F,NATAÇÃO,Atléticas,F,F,DX,"
- ST -5
- DX-4",Módulo Básico,49,"
- Esta perícia é usada tanto para nadar (ou boiar em casos de emergência), como para salvar uma vítima de afogamento.
- Veja Natação (pág.91), para as regras completas sobre natação, afogamento e salvamento de vidas.",,
SKILL-036,ARREMESSO - F|M,ARREMESSO,Atléticas,F,M,DX,,Módulo Básico,49,"
- Esta é a perícia geral de arremessar qualquer coisa que você consiga apanhar.
- Ela ajuda tanto na precisão (faça testes contra sua perícia em Arremesso para qualquer coisa que você seja capaz de erguer), quanto na distância (adicione 1/6 de seu NH em Arremesso à sua ST quando for determinar a distância).
- Veja o parágrafo Arremessando Objetos, na pág. 90.
- Não há muito proveito em se aprender a perícia em Armas Arremessadas quando se conhece a perícia Arremesso.
- Aprenda a perícia com armas se você deseja se especializar sem gastar muito tempo praticando.
- Se você não tiver esta perícia, jogue contra DX-3 quando estiver arremessando algo para atingir um alvo, ou contra DX para tentar atingir uma área.",,
SKILL-037,MACHADO/MAÇA - F|F,MACHADO/MAÇA,Armas e Combate,F,F,DX,"
- DX -5",Módulo Básico,49,"
- Habilidade no uso de qualquer arma pequena e desbalanceada como um machado, machadinha, maça, picareta etc...",,0.5
SKILL-038,ARREMESSO DE MACHADO - F|F,ARREMESSO DE MACHADO,Armas e Combate,F,F,DX,"
- DX -4",Módulo Básico,49,"
- Habilidade no arremesso de qualquer machado de arremesso equilibrado, mas não um machado de guerra desbalanceado.",,
SKILL-039,ARMAS DE PÓLVORA - F|F,ARMAS DE PÓLVORA,Armas e Combate,F,F,DX,"
- DX -4",Módulo Básico,49,"
- Esta é a perícia no uso de armas de pólvora, incluindo mosquetões, pistolas e fuzis.
- Adicione 1 a seu NH, se sua IQ for igual a 10 ou 11, e 2 para o caso de IQ maior ou igual a 12.
- Os modificadores são iguais aos encontrados em Armas de Fogo, pág 51.",,
SKILL-040,ZARABATANA - F|D,ZARABATANA,Armas e Combate,F,D,DX,"
- DX -6",Módulo Básico,49,"
- Esta é a perícia no uso da zarabatana, para lançar pequenos dardos (normalmente envenenados).
- Estes dardos não são capazes de furar as roupas normais, a não ser no caso de um sucesso decisivo, e nunca penetram na roupa ou numa armadura.
- Se um dardo atinge a pele ou roupa leve, o veneno poderá ter efeito.
- Modificadores: -2 ou mais no caso de vento.",,
SKILL-041,BOLADEIRAS - F|M,BOLADEIRAS,Armas e Combate,F,M,DX,,Módulo Básico,49,"
- Esta é a perícia no lançamento de boleadeiras (uma tira de couro com dois ou mais pesos atados a suas pontas) para enredar a vítima.
- São usadas principalmente para parar animais numa tropa, ou na caça de pequenos animais selvagens ou pássaros.
- Podem também ser usadas em combate.
- É possível se esquivar ou bloqueá-las, mas uma tentativa de apará-las fará com que elas se enrolem automaticamente na arma usada para tal.
- Exceção: Uma manobra bem sucedida de aparar com uma arma cortante, cortará as tiras, arruinando as boleadeiras.
-Uma boleadeira pode ser mirada em uma parte do corpo, ou pode-se usar a tabela de pontos de impacto, para escolher uma aleatoriamente.
- As boleadeiras se enrolam automaticamente no alvo, se o atingirem, além de provocar o dano.
- Se um braço, mão ou arma for atingido faça uma Disputa Rápida entre a perícia do atacante e o atributo ST do alvo.
- Se o alvo perder, ele deixará a arma cair (não afeta escudos presos ao antebraço com tiras).
- Se a perna for atingida, as duas pernas estarão presas. Um alvo que esteja correndo deverá ser bem sucedido em um teste de DX para não cair (recebendo 1d6-2 pontos de dano).
- Uma vez enredada, a vítima precisará de três sucessos em testes de DX (e uma mão livre) para conseguir escapar. Durante o processo, nenhuma outra ação poderá ser realizada.
- Animais jogam contra DX-3 para tentar escapar se eles tiverem patas com garras, ou DX-6 se tiverem cascos.",,
SKILL-042,ARCO - F|D,ARCO,Armas e Combate,F,D,DX,"
- DX -6",Módulo Básico,50,"
- Esta é a perícia no uso de arcos em geral.
- Ela cobre também os arcos compostos, apesar de que uma pessoa que nunca tenha visto um antes precisará de um sucesso em um teste de IQ para descobrir como usá-lo corretamente.",,
SKILL-043,BRIGA - F|F,BRIGA,Armas e Combate,F,F,DX,,Módulo Básico,50,"
- Esta é a “perícia”, nada científica, de “sair-no-tapa” num combate de perto.
- Faça um teste de Briga sempre que atacar o adversário com as mãos ou pés para ver se consegue atingi-lo.
- Some 1/10 de seu NH em Briga (arredondado para baixo) ao dano provocado.
- É possível aparar duas vezes por turno (um para cada mão) quando você se defende com as mãos limpas, e seu parâmetro Aparar será igual a 2/3 de seu NH em Briga.
-Com esta perícia só é possível aparar ataques de mãos, pés e armas usadas em combate de perto.",,0.6666666667
SKILL-044,ESPADAS LONGAS - F|M,ESPADAS LONGAS,Armas e Combate,F,M,DX,"
-  DX-5
- ESPADA CURTA -2",Módulo Básico,50,"
- Esta é a perícia no uso de qualquer arma para ser empunhada com uma só mão, balanceada, medindo entre 100 e 120 cm (entre elas Montantes, Cimitarras, bastões de baseball e coisas similares).",,0.5
