consumable_id,consumable_name,consumable_box_name,consumable_tier,consumable_type,consumable_category,consumable_ingredients,consumable_duration,consumable_effect,consumable_toxicity,consumable_price,consumable_weight,consumable_description,consumable_observation,consumable_method,consumable_effect_area
POTION-010,Poção de Vida Contínua,Poção de Vida Contínua | Comum,Comum,Poção,Restauração,,2 Turnos,Restaura 1d6 PV.,10.0,60,0.5,"
- Um líquido de tonalidade carmesim suave com reflexos dourados que se movem lentamente no interior do frasco, como fios de luz suspensos.
- Diferente da Poção de Vida comum, sua consistência é um pouco mais densa e estável, formando camadas sutis que se misturam gradualmente quando o recipiente é agitado.
- Observada contra a luz, parece pulsar em intervalos lentos, sugerindo energia constante em vez de um único impulso.
- O aroma é delicado e persistente — ervas restauradoras, mel aquecido e um leve traço resinoso. Ao ser ingerida, a sensação não vem em um único fluxo intenso, mas em ondas sucessivas: pequenos pulsos de calor percorrem o corpo, fechando ferimentos, reduzindo a dor e sustentando a recuperação ao longo do tempo, como uma vitalidade que insiste em permanecer.","
- A cura ocorre no início de cada turno do alvo.
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-011,Poção de Vida Contínua,Poção de Vida Contínua | Boa,Boa,Poção,Restauração,,3 Turnos,Restaura 1d6 + 3 PV.,8.0,120,0.4,"
- Um líquido de tonalidade carmesim suave com reflexos dourados que se movem lentamente no interior do frasco, como fios de luz suspensos.
- Diferente da Poção de Vida comum, sua consistência é um pouco mais densa e estável, formando camadas sutis que se misturam gradualmente quando o recipiente é agitado.
- Observada contra a luz, parece pulsar em intervalos lentos, sugerindo energia constante em vez de um único impulso.
- O aroma é delicado e persistente — ervas restauradoras, mel aquecido e um leve traço resinoso. Ao ser ingerida, a sensação não vem em um único fluxo intenso, mas em ondas sucessivas: pequenos pulsos de calor percorrem o corpo, fechando ferimentos, reduzindo a dor e sustentando a recuperação ao longo do tempo, como uma vitalidade que insiste em permanecer.","
- A cura ocorre no início de cada turno do alvo.
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-012,Poção de Vida Contínua,Poção de Vida Contínua | Superior,Superior,Poção,Restauração,,4 Turnos,Restaura 1d6 + 6 PV.,6.0,240,0.3,"
- Um líquido de tonalidade carmesim suave com reflexos dourados que se movem lentamente no interior do frasco, como fios de luz suspensos.
- Diferente da Poção de Vida comum, sua consistência é um pouco mais densa e estável, formando camadas sutis que se misturam gradualmente quando o recipiente é agitado.
- Observada contra a luz, parece pulsar em intervalos lentos, sugerindo energia constante em vez de um único impulso.
- O aroma é delicado e persistente — ervas restauradoras, mel aquecido e um leve traço resinoso. Ao ser ingerida, a sensação não vem em um único fluxo intenso, mas em ondas sucessivas: pequenos pulsos de calor percorrem o corpo, fechando ferimentos, reduzindo a dor e sustentando a recuperação ao longo do tempo, como uma vitalidade que insiste em permanecer.","
- A cura ocorre no início de cada turno do alvo.
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-013,Poção de Vida Contínua,Poção de Vida Contínua | Excelente,Excelente,Poção,Restauração,,5 Turnos,Restaura 1d6 + 9 PV.,4.0,480,0.2,"
- Um líquido de tonalidade carmesim suave com reflexos dourados que se movem lentamente no interior do frasco, como fios de luz suspensos.
- Diferente da Poção de Vida comum, sua consistência é um pouco mais densa e estável, formando camadas sutis que se misturam gradualmente quando o recipiente é agitado.
- Observada contra a luz, parece pulsar em intervalos lentos, sugerindo energia constante em vez de um único impulso.
- O aroma é delicado e persistente — ervas restauradoras, mel aquecido e um leve traço resinoso. Ao ser ingerida, a sensação não vem em um único fluxo intenso, mas em ondas sucessivas: pequenos pulsos de calor percorrem o corpo, fechando ferimentos, reduzindo a dor e sustentando a recuperação ao longo do tempo, como uma vitalidade que insiste em permanecer.","
- A cura ocorre no início de cada turno do alvo.
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-014,Poção de Vida Contínua,Poção de Vida Contínua | Obra-Prima,Obra-Prima,Poção,Restauração,,6 Turnos,Restaura 1d6 + 12 PV.,2.0,960,0.1,"
- Um líquido de tonalidade carmesim suave com reflexos dourados que se movem lentamente no interior do frasco, como fios de luz suspensos.
- Diferente da Poção de Vida comum, sua consistência é um pouco mais densa e estável, formando camadas sutis que se misturam gradualmente quando o recipiente é agitado.
- Observada contra a luz, parece pulsar em intervalos lentos, sugerindo energia constante em vez de um único impulso.
- O aroma é delicado e persistente — ervas restauradoras, mel aquecido e um leve traço resinoso. Ao ser ingerida, a sensação não vem em um único fluxo intenso, mas em ondas sucessivas: pequenos pulsos de calor percorrem o corpo, fechando ferimentos, reduzindo a dor e sustentando a recuperação ao longo do tempo, como uma vitalidade que insiste em permanecer.","
- A cura ocorre no início de cada turno do alvo.
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-015,Poção de Mana,Poção de Mana | Comum,Comum,Poção,Restauração,,Instantânea,Restaura 1d6 de Mana.,5.0,30,0.5,"
- Um líquido translúcido de coloração azul profunda com reflexos violetas que se intensificam quando o frasco é movimentado.
- Filetes luminosos percorrem o interior como correntes lentas, desaparecendo e reaparecendo em padrões difíceis de prever, sugerindo energia em estado puro.
- Sua fluidez é leve, quase etérea, deixando um rastro luminoso momentâneo no vidro antes de desaparecer.
- O aroma é fresco e sutilmente metálico, com notas que lembram ar após uma tempestade e pergaminhos antigos recém-abertos.
- Ao ser ingerida, a sensação não é física como calor ou frio, mas mental: uma clareza súbita, como pensamentos voltando ao lugar, seguida por uma pressão suave que se dissolve em foco, presença e energia arcana renovada.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-016,Poção de Mana,Poção de Mana | Boa,Boa,Poção,Restauração,,Instantânea,Restaura 1d6 + 6 de Mana.,4.0,60,0.4,"
- Um líquido translúcido de coloração azul profunda com reflexos violetas que se intensificam quando o frasco é movimentado.
- Filetes luminosos percorrem o interior como correntes lentas, desaparecendo e reaparecendo em padrões difíceis de prever, sugerindo energia em estado puro.
- Sua fluidez é leve, quase etérea, deixando um rastro luminoso momentâneo no vidro antes de desaparecer.
- O aroma é fresco e sutilmente metálico, com notas que lembram ar após uma tempestade e pergaminhos antigos recém-abertos.
- Ao ser ingerida, a sensação não é física como calor ou frio, mas mental: uma clareza súbita, como pensamentos voltando ao lugar, seguida por uma pressão suave que se dissolve em foco, presença e energia arcana renovada.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-017,Poção de Mana,Poção de Mana | Superior,Superior,Poção,Restauração,,Instantânea,Restaura 1d6 + 12 de Mana.,3.0,120,0.3,"
- Um líquido translúcido de coloração azul profunda com reflexos violetas que se intensificam quando o frasco é movimentado.
- Filetes luminosos percorrem o interior como correntes lentas, desaparecendo e reaparecendo em padrões difíceis de prever, sugerindo energia em estado puro.
- Sua fluidez é leve, quase etérea, deixando um rastro luminoso momentâneo no vidro antes de desaparecer.
- O aroma é fresco e sutilmente metálico, com notas que lembram ar após uma tempestade e pergaminhos antigos recém-abertos.
- Ao ser ingerida, a sensação não é física como calor ou frio, mas mental: uma clareza súbita, como pensamentos voltando ao lugar, seguida por uma pressão suave que se dissolve em foco, presença e energia arcana renovada.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-018,Poção de Mana,Poção de Mana | Excelente,Excelente,Poção,Restauração,,Instantânea,Restaura 1d6 + 18de Mana.,2.0,240,0.2,"
- Um líquido translúcido de coloração azul profunda com reflexos violetas que se intensificam quando o frasco é movimentado.
- Filetes luminosos percorrem o interior como correntes lentas, desaparecendo e reaparecendo em padrões difíceis de prever, sugerindo energia em estado puro.
- Sua fluidez é leve, quase etérea, deixando um rastro luminoso momentâneo no vidro antes de desaparecer.
- O aroma é fresco e sutilmente metálico, com notas que lembram ar após uma tempestade e pergaminhos antigos recém-abertos.
- Ao ser ingerida, a sensação não é física como calor ou frio, mas mental: uma clareza súbita, como pensamentos voltando ao lugar, seguida por uma pressão suave que se dissolve em foco, presença e energia arcana renovada.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-019,Poção de Mana,Poção de Mana | Obra-Prima,Obra-Prima,Poção,Restauração,,Instantânea,Restaura 1d6 + 24 de Mana.,1.0,480,0.1,"
- Um líquido translúcido de coloração azul profunda com reflexos violetas que se intensificam quando o frasco é movimentado.
- Filetes luminosos percorrem o interior como correntes lentas, desaparecendo e reaparecendo em padrões difíceis de prever, sugerindo energia em estado puro.
- Sua fluidez é leve, quase etérea, deixando um rastro luminoso momentâneo no vidro antes de desaparecer.
- O aroma é fresco e sutilmente metálico, com notas que lembram ar após uma tempestade e pergaminhos antigos recém-abertos.
- Ao ser ingerida, a sensação não é física como calor ou frio, mas mental: uma clareza súbita, como pensamentos voltando ao lugar, seguida por uma pressão suave que se dissolve em foco, presença e energia arcana renovada.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-020,Poção de Mana Contínua,Poção de Mana Contínua | Comum,Comum,Poção,Restauração,,2 Turnos,Restaura 1d6 de Mana.,10.0,60,0.5,"
- Um líquido de tonalidade azul-violeta suave, atravessado por filamentos luminosos que se movem lentamente como correntes em água profunda.
- Diferente da Poção de Mana comum, sua luz não pulsa de forma intensa, mas permanece constante — um brilho estável que sugere fluxo contínuo de energia.
- Quando agitada, os filamentos se alongam e voltam a se recompor gradualmente, como se nunca se dissipassem por completo.
- O aroma é leve e etéreo, com notas frescas que lembram ar frio, cristal e tinta arcana recém-preparada. Ao ser ingerida, a sensação não vem como um pico de energia, mas como um abastecimento progressivo: pensamentos se organizam, a concentração se sustenta e a energia mágica retorna em ondas suaves e regulares, como uma fonte que não se esgota de imediato.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-021,Poção de Mana Contínua,Poção de Mana Contínua | Boa,Boa,Poção,Restauração,,3 Turnos,Restaura 1d6 + 3 de Mana.,8.0,120,0.4,"
- Um líquido de tonalidade azul-violeta suave, atravessado por filamentos luminosos que se movem lentamente como correntes em água profunda.
- Diferente da Poção de Mana comum, sua luz não pulsa de forma intensa, mas permanece constante — um brilho estável que sugere fluxo contínuo de energia.
- Quando agitada, os filamentos se alongam e voltam a se recompor gradualmente, como se nunca se dissipassem por completo.
- O aroma é leve e etéreo, com notas frescas que lembram ar frio, cristal e tinta arcana recém-preparada. Ao ser ingerida, a sensação não vem como um pico de energia, mas como um abastecimento progressivo: pensamentos se organizam, a concentração se sustenta e a energia mágica retorna em ondas suaves e regulares, como uma fonte que não se esgota de imediato.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-022,Poção de Mana Contínua,Poção de Mana Contínua | Superior,Superior,Poção,Restauração,,4 Turnos,Restaura 1d6 + 6 de Mana.,6.0,240,0.3,"
- Um líquido de tonalidade azul-violeta suave, atravessado por filamentos luminosos que se movem lentamente como correntes em água profunda.
- Diferente da Poção de Mana comum, sua luz não pulsa de forma intensa, mas permanece constante — um brilho estável que sugere fluxo contínuo de energia.
- Quando agitada, os filamentos se alongam e voltam a se recompor gradualmente, como se nunca se dissipassem por completo.
- O aroma é leve e etéreo, com notas frescas que lembram ar frio, cristal e tinta arcana recém-preparada. Ao ser ingerida, a sensação não vem como um pico de energia, mas como um abastecimento progressivo: pensamentos se organizam, a concentração se sustenta e a energia mágica retorna em ondas suaves e regulares, como uma fonte que não se esgota de imediato.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-023,Poção de Mana Contínua,Poção de Mana Contínua | Excelente,Excelente,Poção,Restauração,,5 Turnos,Restaura 1d6 + 9 de Mana.,4.0,480,0.2,"
- Um líquido de tonalidade azul-violeta suave, atravessado por filamentos luminosos que se movem lentamente como correntes em água profunda.
- Diferente da Poção de Mana comum, sua luz não pulsa de forma intensa, mas permanece constante — um brilho estável que sugere fluxo contínuo de energia.
- Quando agitada, os filamentos se alongam e voltam a se recompor gradualmente, como se nunca se dissipassem por completo.
- O aroma é leve e etéreo, com notas frescas que lembram ar frio, cristal e tinta arcana recém-preparada. Ao ser ingerida, a sensação não vem como um pico de energia, mas como um abastecimento progressivo: pensamentos se organizam, a concentração se sustenta e a energia mágica retorna em ondas suaves e regulares, como uma fonte que não se esgota de imediato.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-024,Poção de Mana Contínua,Poção de Mana Contínua | Obra-Prima,Obra-Prima,Poção,Restauração,,6 Turnos,Restaura 1d6 + 12 de Mana.,2.0,960,0.1,"
- Um líquido de tonalidade azul-violeta suave, atravessado por filamentos luminosos que se movem lentamente como correntes em água profunda.
- Diferente da Poção de Mana comum, sua luz não pulsa de forma intensa, mas permanece constante — um brilho estável que sugere fluxo contínuo de energia.
- Quando agitada, os filamentos se alongam e voltam a se recompor gradualmente, como se nunca se dissipassem por completo.
- O aroma é leve e etéreo, com notas frescas que lembram ar frio, cristal e tinta arcana recém-preparada. Ao ser ingerida, a sensação não vem como um pico de energia, mas como um abastecimento progressivo: pensamentos se organizam, a concentração se sustenta e a energia mágica retorna em ondas suaves e regulares, como uma fonte que não se esgota de imediato.","
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente  essa poção no mesmo dia.",,
POTION-025,Poção de Restauração,Poção de Restauração | Comum,Comum,Poção,Restauração,,Instantânea,Restaura 1d6 PV e Mana.,16.0,120,0.5,"
- Um líquido translúcido em tonalidade violeta profunda, com nuances que variam entre púrpura e lavanda conforme a luz atravessa o frasco.
- o interior, delicados reflexos prateados se entrelaçam lentamente, como dois fluxos distintos coexistindo — um mais quente, outro mais etéreo — sugerindo a união entre vitalidade física e energia arcana.
- Sua viscosidade é suave e equilibrada, nem tão leve quanto água, nem densa como xarope, escorrendo pelo vidro em trilhas elegantes que desaparecem rapidamente.
- O aroma é harmonioso e complexo: ervas restauradoras, flores noturnas e um leve toque mineral luminoso.
- Ao ser ingerida, duas sensações emergem quase ao mesmo tempo — um calor que percorre o corpo, restaurando tecidos e reduzindo a dor, e uma clareza mental que reorganiza pensamentos e estabiliza a energia interna.
- A recuperação acontece como um alinhamento súbito, como se corpo e mente fossem reajustados ao mesmo ritmo.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente essa poção no mesmo dia.",,
POTION-026,Poção de Restauração,Poção de Restauração | Boa,Boa,Poção,Restauração,,Instantânea,Restaura 1d6 + 6 PV e Mana.,14.0,240,0.4,"
- Um líquido translúcido em tonalidade violeta profunda, com nuances que variam entre púrpura e lavanda conforme a luz atravessa o frasco.
- o interior, delicados reflexos prateados se entrelaçam lentamente, como dois fluxos distintos coexistindo — um mais quente, outro mais etéreo — sugerindo a união entre vitalidade física e energia arcana.
- Sua viscosidade é suave e equilibrada, nem tão leve quanto água, nem densa como xarope, escorrendo pelo vidro em trilhas elegantes que desaparecem rapidamente.
- O aroma é harmonioso e complexo: ervas restauradoras, flores noturnas e um leve toque mineral luminoso.
- Ao ser ingerida, duas sensações emergem quase ao mesmo tempo — um calor que percorre o corpo, restaurando tecidos e reduzindo a dor, e uma clareza mental que reorganiza pensamentos e estabiliza a energia interna.
- A recuperação acontece como um alinhamento súbito, como se corpo e mente fossem reajustados ao mesmo ritmo.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente essa poção no mesmo dia.",,
POTION-027,Poção de Restauração,Poção de Restauração | Superior,Superior,Poção,Restauração,,Instantânea,Restaura 1d6 +12 PV e Mana.,12.0,480,0.3,"
- Um líquido translúcido em tonalidade violeta profunda, com nuances que variam entre púrpura e lavanda conforme a luz atravessa o frasco.
- o interior, delicados reflexos prateados se entrelaçam lentamente, como dois fluxos distintos coexistindo — um mais quente, outro mais etéreo — sugerindo a união entre vitalidade física e energia arcana.
- Sua viscosidade é suave e equilibrada, nem tão leve quanto água, nem densa como xarope, escorrendo pelo vidro em trilhas elegantes que desaparecem rapidamente.
- O aroma é harmonioso e complexo: ervas restauradoras, flores noturnas e um leve toque mineral luminoso.
- Ao ser ingerida, duas sensações emergem quase ao mesmo tempo — um calor que percorre o corpo, restaurando tecidos e reduzindo a dor, e uma clareza mental que reorganiza pensamentos e estabiliza a energia interna.
- A recuperação acontece como um alinhamento súbito, como se corpo e mente fossem reajustados ao mesmo ritmo.","
- Não cura doenças nem neutraliza venenos, mas pode curar danos causados ​​por estes. 
-Possui uma penalidade cumulativa de -1 ao ser utilizada em alguém que já consumiu anteriormente essa poção no mesmo dia.",,
