enchantment_id,enchantment_name,enchantment_type,enchantment_effect_type,enchantment_is_parametric,enchantment_target,enenchantment_is_percentage,enchantment_base_value,enchantment_step,enchantment_allowed_itens,enchantment_base_price,enchantment_price_per_extra_value,enchantment_price_per_point,enchantment_price_per_difficulty,enchantment_description
ENCHANTMENT-039,Diminuir Resistência à Dano,RD,weaken_damage_resistance,FALSE,,FALSE,1,1,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Diminui a resistência à dano do item.
ENCHANTMENT-040,Fortificar Resistência à Fogo,Fortificar Resistência,fortify_resistance,FALSE,Fire,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Aumenta a resistência à dano de fogo do usuário.
ENCHANTMENT-041,Enfraquecer Resistência à Fogo,Enfraquecer Resistência,weaken_resistance,FALSE,Fire,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Diminui a resistência à dano de fogo do usuário.
ENCHANTMENT-042,Fortificar Resistência à Gelo,Fortificar Resistência,fortify_resistance,FALSE,Ice,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Aumenta a resistência à dano de gelo do usuário.
ENCHANTMENT-043,Enfraquecer Resistência à Gelo,Enfraquecer Resistência,weaken_resistance,FALSE,Ice,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Diminui a resistência à dano de gelo do usuário.
ENCHANTMENT-044,Fortificar Resistência à Eletricidade,Fortificar Resistência,fortify_resistance,FALSE,Electricity,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Aumenta a resistência à dano elétrico do usuário.
ENCHANTMENT-045,Enfraquecer Resistência à Eletricidade,Enfraquecer Resistência,weaken_resistance,FALSE,Electricity,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Diminui a resistência à dano elétrico do usuário.
ENCHANTMENT-046,Fortificar Resistência à Corrosão,Fortificar Resistência,fortify_resistance,FALSE,Corrosion,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Aumenta a resistência à dano corrosivo do usuário.
ENCHANTMENT-047,Enfraquecer Resistência à Corrosão,Enfraquecer Resistência,weaken_resistance,FALSE,Corrosion,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",500,500,,,Diminui a resistência à dano corrosivo do usuário.
ENCHANTMENT-048,Fortificar Resistência à Sagrado,Fortificar Resistência,fortify_resistance,FALSE,Holy,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Aumenta a resistência à dano sagrado do usuário.
ENCHANTMENT-049,Enfraquecer Resistência à Sagrado,Enfraquecer Resistência,weaken_resistance,FALSE,Holy,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Diminui a resistência à dano sagrado do usuário.
ENCHANTMENT-050,Fortificar Resistência à Necrótico,Fortificar Resistência,fortify_resistance,FALSE,Necrotic,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Aumenta a resistência à dano necrótico do usuário.
ENCHANTMENT-051,Enfraquecer Resistência à Necrótico,Enfraquecer Resistência,weaken_resistance,FALSE,Necrotic,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Diminui a resistência à dano necrótico do usuário.
ENCHANTMENT-052,Fortificar Resistência à Vazio,Fortificar Resistência,fortify_resistance,FALSE,Void,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Aumenta a resistência à dano vazio do usuário.
ENCHANTMENT-053,Enfraquecer Resistência à Vazio,Enfraquecer Resistência,weaken_resistance,FALSE,Void,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Diminui a resistência à dano vazio do usuário.
ENCHANTMENT-054,Fortificar Resistência à Arcano,Fortificar Resistência,fortify_resistance,FALSE,Arcane,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Aumenta a resistência à dano arcano do usuário.
ENCHANTMENT-055,Enfraquecer Resistência à Arcano,Enfraquecer Resistência,weaken_resistance,FALSE,Arcane,TRUE,0.05,0.05,"Cabeça, Tronco, Braços, Mãos, Pernas, Pés, Escudos",1000,1000,,,Diminui a resistência à dano arcano do usuário.
ENCHANTMENT-056,Fortificar BAL,Fortificar Dano,fortify_damage,FALSE,BAL,FALSE,1,1,Armas Corpo a Corpo,1000,1000,,,Aumenta o dano de BAL da Arma
ENCHANTMENT-057,Enfraquecer BAL,Enfraquecer Dano,weaken_damage,FALSE,BAL,FALSE,1,1,Armas Corpo a Corpo,1000,1000,,,Diminui o dano de BAL da Arma
ENCHANTMENT-058,Fortificar GDP,Fortificar Dano,fortify_damage,FALSE,GDP,FALSE,1,1,"Armas Corpo a Corpo, Armas de Longo Alcance, Armas de Fogo",2000,2000,,,Aumenta o dano de GDP da Arma
ENCHANTMENT-059,Enfraquecer GDP,Enfraquecer Dano,weaken_damage,FALSE,GDP,FALSE,1,1,"Armas Corpo a Corpo, Armas de Longo Alcance, Armas de Fogo",2000,2000,,,Diminui o dano de GDP da Arma
ENCHANTMENT-060,Aumentar ST Mín,Aumentar Requisito,add_requisite,FALSE,Min Strength,FALSE,1,1,"Armas Corpo a Corpo, Armas de Longo Alcance, Armas de Fogo",500,500,,,Aumenta o ST Mínimo necessário para empunhar a arma corretamente.
ENCHANTMENT-061,Diminuir ST Mín,Diminuir Requisito,remove_requisite,FALSE,Min Strength,FALSE,1,1,"Armas Corpo a Corpo, Armas de Longo Alcance, Armas de Fogo",500,500,,,Diminui o ST Mínimo necessário para empunhar a arma corretamente.
ENCHANTMENT-062,Aumentar Precisão (PREC),Aumentar Requisito,add_requisite,FALSE,PREC,FALSE,1,1,"Armas de Longo Alcance, Armas de Fogo",1000,1000,,,Aumenta o bônus de precisão da arma.
ENCHANTMENT-063,Reduzir Precisão (PREC),Diminuir Requisito,remove_requisite,FALSE,PREC,FALSE,1,1,"Armas de Longo Alcance, Armas de Fogo",1000,1000,,,Diminui o bônus de precisão da arma.
ENCHANTMENT-064,Aumentar Tiro Rápido (TR),Aumentar Requisito,add_requisite,FALSE,TR,FALSE,1,1,"Armas de Longo Alcance, Armas de Fogo",1000,1000,,,Aumenta a dificuldade de tiro rápido da arma.
ENCHANTMENT-065,Reduzir Tiro Rápido (TR),Diminuir Requisito,remove_requisite,FALSE,TR,FALSE,1,1,"Armas de Longo Alcance, Armas de Fogo",1000,1000,,,Diminui a dificuldade de tiro rápido da arma.
ENCHANTMENT-066,Retorno Mágico,Efeito,special_effect,FALSE,,FALSE,,,Armas de Longo Alcance,5000,,,,A arma pode ser acionada e retornar para o usuário após ser arremessada.
