spell_id,spell_box_name,spell_school,spell_name,spell_difficulty,spell_tier,spell_type,spell_requirements,spell_cost,spell_cast_time,spell_target_type,spell_range,spell_effect_area,spell_scaling,spell_duration,spell_description,spell_observation
MAN-0010,SENTIR AURA | F,Arcanomancia,Sentir Aura,F,Aprendiz,Detecção,"
- Moldar Mana",2,Instantâneo,Área,5 Hex,5 Hex,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue sentir a presença de Vida ao seu redor.","
- Esse feitiço é resistido pelo feitiço Ocultar Aura."
MAN-0011,SENTIR AURA | F,Arcanomancia,Sentir Aura,F,Experiente,Detecção,"
- Moldar Mana",2,Instantâneo,Área,10 Hex,10 Hex,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue sentir a presença de Vida ao seu redor.","
- Esse feitiço é resistido pelo feitiço Ocultar Aura."
MAN-0012,SENTIR AURA | F,Arcanomancia,Sentir Aura,F,Veterano,Detecção,"
- Moldar Mana",2,Instantâneo,Área,15 Hex,15 Hex,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue sentir a presença de Vida ao seu redor.","
- Esse feitiço é resistido pelo feitiço Ocultar Aura."
MAN-0013,SENTIR AURA | F,Arcanomancia,Sentir Aura,F,Especialista,Detecção,"
- Moldar Mana",2,Instantâneo,Área,20 Hex,20 Hex,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue sentir a presença de Vida ao seu redor.","
- Esse feitiço é resistido pelo feitiço Ocultar Aura."
MAN-0014,SENTIR AURA | F,Arcanomancia,Sentir Aura,F,Mestre,Detecção,"
- Moldar Mana",2,Instantâneo,Área,25 Hex,25 Hex,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue sentir a presença de Vida ao seu redor.","
- Esse feitiço é resistido pelo feitiço Ocultar Aura."
MAN-0015,OCULTAR AURA | M,Arcanomancia,Ocultar Aura,M,Aprendiz,Mental,"
- Moldar Mana
- Sentir Aura",4,1 Turno,Self,Self,Self,- +1 de Mana para cada 1 minuto adicional.,1 Minuto,"
- O conjurador consegue esconder a sua energia vital, tornando-se indetectável perante magias do tipo Detecção.","
- O conjurador ainda pode ser detectado normalmente por testes de Percepção."
MAN-0016,OCULTAR AURA | M,Arcanomancia,Ocultar Aura,M,Experiente,Mental,"
- Moldar Mana
- Sentir Aura",4,1 Turno,Self,Self,Self,- +1 de Mana para cada 1 minuto adicional.,5 Minutos,"
- O conjurador consegue esconder a sua energia vital, tornando-se indetectável perante magias do tipo Detecção.","
- O conjurador ainda pode ser detectado normalmente por testes de Percepção."
MAN-0017,OCULTAR AURA | M,Arcanomancia,Ocultar Aura,M,Veterano,Mental,"
- Moldar Mana
- Sentir Aura",4,1 Turno,Self,Self,Self,- +1 de Mana para cada 5 minutos adicionais.,10 Minutos,"
- O conjurador consegue esconder a sua energia vital, tornando-se indetectável perante magias do tipo Detecção.","
- O conjurador ainda pode ser detectado normalmente por testes de Percepção."
MAN-0018,OCULTAR AURA | M,Arcanomancia,Ocultar Aura,M,Especialista,Mental,"
- Moldar Mana
- Sentir Aura",4,1 Turno,Self,Self,Self,- +1 de Mana para cada 10 minutos adicionais.,30 Minutos,"
- O conjurador consegue esconder a sua energia vital, tornando-se indetectável perante magias do tipo Detecção.","
- O conjurador ainda pode ser detectado normalmente por testes de Percepção."
MAN-0019,OCULTAR AURA | M,Arcanomancia,Ocultar Aura,M,Mestre,Mental,"
- Moldar Mana
- Sentir Aura",4,Instantâneo,Self,Self,Self,- +1 de Mana para cada 30 minutos adicionais.,1 Hora,"
- O conjurador consegue esconder a sua energia vital, tornando-se indetectável perante magias do tipo Detecção.","
- O conjurador ainda pode ser detectado normalmente por testes de Percepção."
MAN-0020,SUSPENDER FEITIÇO | M,Arcanomancia,Suspender Feitiço,M,Aprendiz,Dissipação,"
- Moldar Mana",4,Instantâneo,Feitiço,3 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue suspender um feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -1 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é dissipado."
MAN-0021,SUSPENDER FEITIÇO | M,Arcanomancia,Suspender Feitiço,M,Experiente,Dissipação,"
- Moldar Mana",4,Instantâneo,Feitiço,5 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue suspender um feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -2 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é dissipado."
MAN-0022,SUSPENDER FEITIÇO | M,Arcanomancia,Suspender Feitiço,M,Veterano,Dissipação,"
- Moldar Mana",4,Instantâneo,Feitiço,8 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue suspender um feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH - 3 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é dissipado."
MAN-0023,SUSPENDER FEITIÇO | M,Arcanomancia,Suspender Feitiço,M,Especialista,Dissipação,"
- Moldar Mana",4,Instantâneo,Feitiço,12 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue suspender um feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -4 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é dissipado."
MAN-0024,SUSPENDER FEITIÇO | M,Arcanomancia,Suspender Feitiço,M,Mestre,Dissipação,"
- Moldar Mana",4,Instantâneo,Feitiço,15 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue suspender um feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH - 5 do feitiço Moldar Mana contra o NH do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é dissipado."
MAN-0025,ROUBAR FEITIÇO | D,Arcanomancia,Roubar Feitiço,D,Aprendiz,Manipulação,"
- Moldar Mana
- Suspender Feitiço",8,Instantâneo,Feitiço,3 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador rouba o feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -1 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é roubado."
MAN-0026,ROUBAR FEITIÇO | D,Arcanomancia,Roubar Feitiço,D,Experiente,Manipulação,"
- Moldar Mana
- Suspender Feitiço",8,Instantâneo,Feitiço,5 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador rouba o feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -2 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é roubado."
MAN-0027,ROUBAR FEITIÇO | D,Arcanomancia,Roubar Feitiço,D,Veterano,Manipulação,"
- Moldar Mana
- Suspender Feitiço",8,Instantâneo,Feitiço,8 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador rouba o feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -3 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é roubado."
MAN-0028,ROUBAR FEITIÇO | D,Arcanomancia,Roubar Feitiço,D,Especialista,Manipulação,"
- Moldar Mana
- Suspender Feitiço",8,Instantâneo,Feitiço,12 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador rouba o feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -4 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é roubado."
MAN-0029,ROUBAR FEITIÇO | D,Arcanomancia,Roubar Feitiço,D,Mestre,Manipulação,"
- Moldar Mana
- Suspender Feitiço",8,Instantâneo,Feitiço,15 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador rouba o feitiço de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Feitiço. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -5 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o feitiço é roubado."
MAN-0030,PROTEGER FEITIÇO | F,Arcanomancia,Proteger Feitiço,F,Aprendiz,Proteção,"
- Moldar Mana",2,Instantâneo,Feitiço,3 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador protege um feitiço contra os feitiços Suspender Feitiço e Roubar Feitiço.","
- O conjurador pode proteger seus próprios feitiços pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 5 Mana."
MAN-0031,PROTEGER FEITIÇO | F,Arcanomancia,Proteger Feitiço,F,Experiente,Proteção,"
- Moldar Mana",2,Instantâneo,Feitiço,5 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador protege um feitiço contra os feitiços Suspender Feitiço e Roubar Feitiço.","
- O conjurador pode proteger seus próprios feitiços pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 4 Mana."
MAN-0032,PROTEGER FEITIÇO | F,Arcanomancia,Proteger Feitiço,F,Veterano,Proteção,"
- Moldar Mana",2,Instantâneo,Feitiço,8 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador protege um feitiço contra os feitiços Suspender Feitiço e Roubar Feitiço.","
- O conjurador pode proteger seus próprios feitiços pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 3 Mana."
MAN-0033,PROTEGER FEITIÇO | F,Arcanomancia,Proteger Feitiço,F,Especialista,Proteção,"
- Moldar Mana",2,Instantâneo,Feitiço,12 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador protege um feitiço contra os feitiços Suspender Feitiço e Roubar Feitiço.","
- O conjurador pode proteger seus próprios feitiços pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 2 Mana."
MAN-0034,PROTEGER FEITIÇO | F,Arcanomancia,Proteger Feitiço,F,Mestre,Proteção,"
- Moldar Mana",2,Instantâneo,Feitiço,15 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador protege um feitiço contra os feitiços Suspender Feitiço e Roubar Feitiço.","
- O conjurador pode proteger quaisquer feitiços pelo custo de fixo de 1 de Mana."
MAN-0035,ROUBAR MANA | MD,Arcanomancia,Roubar Mana,MD,Aprendiz,Manipulação,"
- Moldar Mana",2,1 Turno,Alvo Único,3 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.
- x2 de Mana para roubar o dobro de Mana.",Instantâneo,"
- O conjurador rouba 1d6+2 de Mana de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Mana. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -1 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o alvo tem sua Mana roubada.
- Caso o alvo fique com 0 de Mana, este irá desmair, e só irá acordar após um descanço longo ou caso tenha ao menos 1 de Mana restaurado de alguma forma e for bem sucedido em um teste de HT."
MAN-0036,ROUBAR MANA | MD,Arcanomancia,Roubar Mana,MD,Experiente,Manipulação,"
- Moldar Mana",2,1 Turno,Alvo Único,5 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.
- x2 de Mana para roubar o dobro de Mana.",Instantâneo,"
- O conjurador rouba 1d6+4 de Mana de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Mana. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -2 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o alvo tem sua Mana roubada.
- Caso o alvo fique com 0 de Mana, este irá desmair, e só irá acordar após um descanço longo ou caso tenha ao menos 1 de Mana restaurado de alguma forma e for bem sucedido em um teste de HT."
MAN-0037,ROUBAR MANA | MD,Arcanomancia,Roubar Mana,MD,Veterano,Manipulação,"
- Moldar Mana",2,1 Turno,Alvo Único,8 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 2 Hex de raio de alcance adicional.
- x2 de Mana para roubar o dobro de Mana.",Instantâneo,"
- O conjurador rouba 1d6+6 de Mana de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Mana. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -3 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o alvo tem sua Mana roubada.
- Caso o alvo fique com 0 de Mana, este irá desmair, e só irá acordar após um descanço longo ou caso tenha ao menos 1 de Mana restaurado de alguma forma e for bem sucedido em um teste de HT."
MAN-0038,ROUBAR MANA | MD,Arcanomancia,Roubar Mana,MD,Especialista,Manipulação,"
- Moldar Mana",2,1 Turno,Alvo Único,12 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 2 Hex de raio de alcance adicional.
- x2 de Mana para roubar o dobro de Mana.",Instantâneo,"
- O conjurador rouba 1d6+8 de Mana de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Mana. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -4 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o alvo tem sua Mana roubada.
- Caso o alvo fique com 0 de Mana, este irá desmair, e só irá acordar após um descanço longo ou caso tenha ao menos 1 de Mana restaurado de alguma forma e for bem sucedido em um teste de HT."
MAN-0039,ROUBAR MANA | MD,Arcanomancia,Roubar Mana,MD,Mestre,Manipulação,"
- Moldar Mana",2,Instantâneo,Alvo Único,15 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.
- x2 de Mana para roubar o triplo de Mana.",Instantâneo,"
- O conjurador rouba 1d6+12 de Mana de um objeto ou ser.","
- O alvo do feitiço resiste caso tenha utilizado o feitiço Proteger Mana. Caso contrário pode tentar disputar um teste de NH do feitiço Moldar Mana contra o NH -5 do conjurador neste.
- Em caso de sucesso consegue manter seu feitiço, caso perca ou empate no teste, o alvo tem sua Mana roubada.
- Caso o alvo fique com 0 de Mana, este irá desmair, e só irá acordar após um descanço longo ou caso tenha ao menos 1 de Mana restaurado de alguma forma e for bem sucedido em um teste de HT."
MAN-0040,PROTEGER MANA | M,Arcanomancia,Proteger Mana,M,Aprendiz,Proteção,"
- Moldar Mana",4,Instantâneo,Alvo Único,3 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador protege um objeto ou ser contra o feitiço Roubar Mana.","
- O conjurador pode proteger sua própria Mana pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 5 Mana."
MAN-0041,PROTEGER MANA | M,Arcanomancia,Proteger Mana,M,Experiente,Proteção,"
- Moldar Mana",4,Instantâneo,Alvo Único,5 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador protege um objeto ou ser contra o feitiço Roubar Mana.","
- O conjurador pode proteger sua própria Mana pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 4 Mana."
MAN-0042,PROTEGER MANA | M,Arcanomancia,Proteger Mana,M,Veterano,Proteção,"
- Moldar Mana",4,Instantâneo,Alvo Único,8 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador protege um objeto ou ser contra o feitiço Roubar Mana.","
- O conjurador pode proteger sua própria Mana pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 3 Mana."
MAN-0043,PROTEGER MANA | M,Arcanomancia,Proteger Mana,M,Especialista,Proteção,"
- Moldar Mana",4,Instantâneo,Alvo Único,12 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador protege um objeto ou ser contra o feitiço Roubar Mana.","
- O conjurador pode proteger sua própria Mana pelo custo de fixo de 1 de Mana, já para proteger o feitiço de outra ser ou objeto ele terá um custo de 2 Mana."
MAN-0044,PROTEGER MANA | M,Arcanomancia,Proteger Mana,M,Mestre,Proteção,"
- Moldar Mana",4,Instantâneo,Alvo Único,15 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador protege um objeto ou ser contra o feitiço Roubar Mana.","
- O conjurador pode proteger a Mana de quaisquer ser ou ser pelo custo de fixo de 1 de Mana."
MAN-0045,EMPRESTAR MANA | F,Arcanomancia,Emprestar Mana,F,Aprendiz,Mental,"
- Moldar Mana",Variável,Instantâneo,Alvo Único,3 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador empresta uma quantidade desejada de Mana para um objeto ou ser que tenha algum traço de capacidade mágica.","
- O valor de Mana emprestado não pode ser superior a Mana total do conjurador e nem pode zerar a Mana deste."
MAN-0046,EMPRESTAR MANA | F,Arcanomancia,Emprestar Mana,F,Experiente,Mental,"
- Moldar Mana",Variável,Instantâneo,Alvo Único,5 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador empresta uma quantidade desejada de Mana para um objeto ou ser que tenha algum traço de capacidade mágica.","
- O valor de Mana emprestado não pode ser superior a Mana total do conjurador e nem pode zerar a Mana deste."
MAN-0047,EMPRESTAR MANA | F,Arcanomancia,Emprestar Mana,F,Veterano,Mental,"
- Moldar Mana",Variável,Instantâneo,Alvo Único,8 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador empresta uma quantidade desejada de Mana para um objeto ou ser que tenha algum traço de capacidade mágica.","
- O valor de Mana emprestado não pode ser superior a Mana total do conjurador e nem pode zerar a Mana deste."
MAN-0048,EMPRESTAR MANA | F,Arcanomancia,Emprestar Mana,F,Especialista,Mental,"
- Moldar Mana",Variável,Instantâneo,Alvo Único,12 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador empresta uma quantidade desejada de Mana para um objeto ou ser que tenha algum traço de capacidade mágica.","
- O valor de Mana emprestado não pode ser superior a Mana total do conjurador e nem pode zerar a Mana deste."
MAN-0049,EMPRESTAR MANA | F,Arcanomancia,Emprestar Mana,F,Mestre,Mental,"
- Moldar Mana",Variável,Instantâneo,Alvo Único,15 Hex,Área ocupada pelo alvo,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador empresta uma quantidade desejada de Mana para um objeto ou ser que tenha algum traço de capacidade mágica.","
- O valor de Mana emprestado não pode ser superior a Mana total do conjurador e nem pode zerar a Mana deste."
MAN-0050,ALTERAR ARQUÉTIPO | D,Arcanomancia,Alterar Arquétipo,D,Aprendiz,Manipulação,"
- Moldar Mana",4,Instantâneo,Feitiço,3 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue alterar o arquétipo de feitiços das escolas de magia do arquétipo elemental.",
MAN-0051,ALTERAR ESCOLA | D,Arcanomancia,Alterar Escola,D,Experiente,Manipulação,"
- Moldar Mana",4,Instantâneo,Feitiço,5 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 1 Hex de raio de alcance adicional.",Instantâneo,"
- O conjurador consegue alterar o arquétipo de feitiços das escolas de magia do arquétipo elemental.",
MAN-0052,ALTERAR ESCOLA | D,Arcanomancia,Alterar Escola,D,Veterano,Manipulação,"
- Moldar Mana",4,Instantâneo,Feitiço,8 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue alterar o arquétipo de feitiços das escolas de magia do arquétipo elemental.",
MAN-0053,ALTERAR ESCOLA | D,Arcanomancia,Alterar Escola,D,Especialista,Manipulação,"
- Moldar Mana",4,Instantâneo,Feitiço,12 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 2 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue alterar o arquétipo de feitiços das escolas de magia do arquétipo elemental.",
MAN-0054,ALTERAR ESCOLA | D,Arcanomancia,Alterar Escola,D,Mestre,Manipulação,"
- Moldar Mana",4,Instantâneo,Feitiço,15 Hex,Área ocupada pelo feitiço,"
- +1 de Mana para cada 3 Hex de raio de alcance adicionais.",Instantâneo,"
- O conjurador consegue alterar o arquétipo de feitiços das escolas de magia do arquétipo elemental.",
